id	mn	onset	duration	tpc	midi	timesig
0	1	0	1/16	3	45	12/8
0	1	1/16	1/16	7	49	12/8
0	1	1/8	1/16	4	52	12/8
0	1	3/16	1/16	3	57	12/8
0	1	1/4	1/16	8	56	12/8
0	1	5/16	1/16	6	54	12/8
0	1	3/8	1/16	4	52	12/8
0	1	7/16	1/16	8	56	12/8
0	1	1/2	1/16	5	59	12/8
0	1	9/16	1/16	2	62	12/8
0	1	5/8	1/16	7	61	12/8
0	1	11/16	1/16	5	59	12/8
0	1	3/4	1/16	3	57	12/8
0	1	13/16	1/16	7	61	12/8
0	1	7/8	1/16	4	64	12/8
0	1	15/16	1/16	3	69	12/8
0	1	1	1/16	8	68	12/8
0	1	17/16	1/16	6	66	12/8
0	1	9/8	1/16	4	64	12/8
0	1	19/16	1/16	8	68	12/8
0	1	5/4	1/16	5	71	12/8
0	1	21/16	1/16	2	74	12/8
0	1	11/8	1/16	7	73	12/8
0	1	23/16	1/16	5	71	12/8
0	2	0	1/16	3	69	12/8
0	2	1/16	1/16	5	71	12/8
0	2	1/8	1/16	7	73	12/8
0	2	3/16	1/16	2	74	12/8
0	2	1/4	1/16	4	76	12/8
0	2	5/16	1/16	6	78	12/8
0	2	3/8	1/16	8	80	12/8
0	2	7/16	1/16	3	81	12/8
0	2	1/2	1/16	5	83	12/8
0	2	9/16	1/16	8	80	12/8
0	2	5/8	1/16	4	76	12/8
0	2	11/16	1/16	8	80	12/8
0	2	3/4	3/8	3	81	12/8
0	2	3/4	1/8	3	81	12/8
0	2	7/8	1/16	8	80	12/8
0	2	15/16	1/16	6	78	12/8
0	2	1	1/16	4	76	12/8
0	2	1	1/8	4	76	12/8
0	2	17/16	1/16	2	74	12/8
0	2	9/8	3/8	7	73	12/8
0	2	9/8	3/8	4	76	12/8
0	2	9/8	3/8	3	81	12/8
0	2	19/16	1/16	5	71	12/8
0	2	5/4	1/16	3	69	12/8
0	2	21/16	1/16	8	68	12/8
0	2	11/8	1/16	3	69	12/8
0	2	11/8	1/8	3	69	12/8
0	2	23/16	1/16	4	64	12/8
0	3	0	1/4	3	57	12/8
0	3	0	1/4	4	64	12/8
0	3	0	1/4	3	69	12/8
0	3	0	1/4	7	73	12/8
0	3	0	1/4	4	76	12/8
0	3	0	1/8	3	81	12/8
0	3	1/8	1/8	8	80	12/8
0	3	1/4	1/8	6	78	12/8
0	3	3/8	1/8	4	76	12/8
0	3	1/2	1/8	6	78	12/8
0	3	5/8	1/8	2	74	12/8
0	3	3/4	1/8	3	69	12/8
0	3	3/4	3/8	7	73	12/8
0	3	7/8	1/8	8	68	12/8
0	3	1	1/8	6	66	12/8
0	3	9/8	1/8	4	64	12/8
0	3	9/8	1/4	7	73	12/8
0	3	5/4	1/8	6	66	12/8
0	3	11/8	1/8	2	62	12/8
0	3	11/8	1/8	2	74	12/8
0	4	0	3/8	7	61	12/8
0	4	0	1/8	4	76	12/8
0	4	1/8	1/8	2	74	12/8
0	4	1/4	1/8	7	73	12/8
0	4	3/8	1/4	7	61	12/8
0	4	3/8	1/8	5	71	12/8
0	4	1/2	1/8	7	73	12/8
0	4	5/8	1/8	2	62	12/8
0	4	5/8	1/8	3	69	12/8
0	4	3/4	3/4	4	64	12/8
0	4	3/4	1/8	4	64	12/8
0	4	3/4	3/8	8	68	12/8
0	4	7/8	1/8	2	62	12/8
